Brand,Battery_Capacity_kWh,Motor_Power_kW,Weight_kg,Max_Charge_Power_kW,Drag_Coefficient,Price_USD,Range_km,Charge_Time_mins
Hyundai,36.0,725,2268,100,0.28,72394,164,23
Nissan,33.8,361,1961,350,0.22,49817,195,12
Porsche,115.7,167,2441,350,0.24,55035,613,22
Kia,125.0,320,2661,250,0.32,70932,397,29
Ford,36.6,504,2086,50,0.35,54970,181,44
Chevrolet,40.0,705,2102,250,0.26,71838,186,10
Tesla,111.9,151,2597,350,0.23,46725,531,26
Porsche,36.6,240,1874,50,0.28,40117,158,45
Volkswagen,71.5,647,2345,150,0.23,67375,365,27
Chevrolet,37.7,169,2132,100,0.29,39571,152,25
Kia,53.0,266,2176,250,0.26,47457,246,13
Hyundai,89.1,657,2526,350,0.3,82043,337,15
Ford,65.2,688,2252,150,0.35,68587,268,30
Ford,115.3,304,2395,150,0.33,72460,618,44
Rivian,44.0,353,2118,150,0.24,51031,244,21
Nissan,61.7,557,2355,350,0.33,70920,201,12
Polestar,98.9,213,2525,50,0.33,59752,405,105
Kia,88.8,696,2597,150,0.34,71954,477,36
Nissan,54.1,670,2405,50,0.24,68722,254,62
Ford,35.1,532,2066,350,0.28,66580,150,10
Kia,39.4,273,1892,250,0.34,47619,203,13
Audi,124.2,399,2683,50,0.2,75235,419,133
Volkswagen,55.3,341,1944,50,0.31,54309,220,59
Nissan,126.6,726,3016,100,0.26,81271,439,70
Porsche,68.1,385,2083,350,0.34,58553,259,15
Porsche,103.4,405,2548,250,0.29,74751,336,25
BMW,59.2,526,2118,150,0.23,64077,271,27
BMW,70.3,708,2403,350,0.3,80246,298,17
Kia,116.6,582,2706,100,0.3,75924,375,67
Audi,66.5,610,2234,50,0.25,63006,312,73
Hyundai,124.3,216,2420,350,0.34,60551,479,18
Tesla,50.9,415,2133,100,0.28,51065,203,33
Porsche,33.1,570,1955,50,0.3,56359,135,36
Rivian,58.3,516,2116,250,0.29,60026,262,15
Ford,60.2,433,2292,250,0.26,62287,316,15
BMW,68.4,192,2240,350,0.33,47779,320,14
Chevrolet,36.6,360,1911,100,0.27,47877,167,25
Kia,56.7,386,2193,350,0.29,60929,283,10
Ford,97.1,112,2340,350,0.29,44620,453,17
Hyundai,65.1,334,2205,50,0.33,58854,302,74
Hyundai,33.4,633,2057,150,0.29,66838,171,16
Hyundai,123.3,271,2524,150,0.25,66033,541,44
Ford,54.5,727,2367,350,0.33,80481,167,14
Hyundai,77.5,245,2198,50,0.33,48679,334,82
Nissan,84.8,175,2233,250,0.24,55933,445,20
Audi,125.2,714,2908,350,0.3,80779,542,23
Tesla,113.7,117,2506,150,0.24,42923,520,44
Rivian,61.3,215,2069,100,0.33,47855,321,37
Polestar,124.6,194,2736,350,0.29,61876,432,22
Polestar,109.9,186,2525,100,0.26,60367,530,64
Tesla,85.8,265,2227,50,0.34,59542,356,94
Chevrolet,76.7,248,2204,50,0.26,46175,273,82
Ford,31.1,210,2055,350,0.29,47087,141,10
Nissan,74.9,674,2429,50,0.26,75388,340,85
Volkswagen,114.5,293,2432,100,0.26,65879,380,64
Rivian,59.1,273,2030,150,0.28,51946,288,27
Nissan,67.0,391,2163,250,0.29,64684,298,19
Ford,63.2,685,2432,150,0.33,70795,308,26
Volkswagen,32.5,359,1963,250,0.25,50403,129,10
Volkswagen,38.1,507,2183,50,0.3,56427,153,42
Nissan,51.5,749,2395,250,0.31,78410,201,13
BMW,41.5,371,1992,250,0.26,51313,176,10
Hyundai,98.9,729,2816,350,0.32,78342,484,18
Kia,129.9,300,2723,250,0.33,65895,507,31
Polestar,63.5,127,2137,100,0.34,38409,200,37
Volkswagen,44.1,561,2177,350,0.28,54629,222,12
Polestar,113.8,461,2523,50,0.23,64761,474,122
BMW,80.6,486,2471,250,0.22,69796,376,19
Hyundai,124.5,456,2570,50,0.28,71601,558,138
Porsche,86.5,659,2508,350,0.26,81870,376,16
Mercedes-Benz,64.4,486,2229,350,0.32,61650,328,13
Chevrolet,42.8,716,2024,150,0.22,73807,229,18
Nissan,63.5,660,2475,150,0.3,65705,284,24
Nissan,105.9,272,2529,350,0.26,56773,391,22
Kia,42.9,157,2038,150,0.34,46755,157,18
Ford,100.0,290,2490,350,0.27,70478,477,16
Audi,121.1,565,2620,150,0.3,84091,544,47
Polestar,118.7,115,2559,50,0.2,50779,381,131
Ford,106.2,379,2553,350,0.34,68451,432,21
Rivian,60.5,552,2114,150,0.29,62242,191,26
Porsche,104.9,283,2417,150,0.27,53567,445,43
Porsche,47.3,285,2014,150,0.21,47211,231,18
Ford,68.2,486,2212,50,0.29,56365,293,75
Volkswagen,43.5,437,2005,100,0.33,45922,241,26
Hyundai,112.2,465,2779,50,0.22,61060,420,121
Hyundai,110.5,278,2515,250,0.27,58686,492,28
Nissan,33.7,379,1928,350,0.23,52649,131,10
Kia,124.4,436,2747,50,0.3,72329,512,133
Rivian,68.4,242,2061,350,0.28,52644,358,16
Tesla,103.9,528,2553,50,0.2,71531,402,113
Rivian,129.7,607,2687,250,0.25,73216,491,32
Audi,64.3,602,2229,250,0.3,65087,300,17
Rivian,54.2,258,2149,100,0.32,53325,254,33
Ford,56.1,163,1917,50,0.35,46273,290,64
Mercedes-Benz,70.7,466,2453,150,0.32,61590,292,29
Rivian,128.7,358,2819,50,0.24,70453,405,139
Nissan,47.0,100,1857,150,0.33,44995,246,17
Chevrolet,42.4,424,1925,150,0.27,60043,198,19
Hyundai,98.1,371,2596,150,0.31,63013,394,38
BMW,115.7,569,2737,100,0.35,73925,468,64
Porsche,47.7,166,2028,350,0.33,51867,165,13
Audi,98.6,386,2613,100,0.26,66813,373,54
Nissan,67.0,212,2101,150,0.24,47750,378,28
Ford,114.5,314,2598,100,0.21,68001,467,64
Hyundai,75.3,670,2457,50,0.27,78173,328,83
Chevrolet,45.8,659,2278,350,0.32,67947,172,11
Kia,69.2,483,2203,150,0.23,65069,319,28
Kia,119.2,541,2679,50,0.22,74395,517,131
Tesla,62.9,675,2363,100,0.33,70153,214,38
Ford,37.1,360,2087,350,0.24,50053,210,10
Kia,60.9,426,2172,50,0.34,61823,270,66
Volkswagen,92.4,332,2388,150,0.29,61527,423,38
Chevrolet,95.0,592,2475,50,0.28,75418,291,101
Chevrolet,87.9,520,2451,250,0.26,61043,435,24
Porsche,70.4,668,2348,100,0.27,83190,299,43
Ford,50.2,624,2053,350,0.24,67992,220,11
Chevrolet,64.5,320,2281,50,0.31,58723,262,70
BMW,58.9,652,2344,250,0.32,68132,239,17
Rivian,77.3,621,2466,150,0.33,66864,326,31
Ford,122.3,275,2843,250,0.25,60793,439,29
BMW,90.8,166,2369,150,0.22,54701,389,34
Chevrolet,94.8,118,2273,350,0.34,57378,297,16
Kia,45.4,344,2045,50,0.34,58339,200,48
Kia,105.3,459,2435,50,0.3,67235,352,115
Audi,85.4,650,2754,150,0.29,77789,374,34
Volkswagen,81.0,381,2195,50,0.21,60263,417,89
Mercedes-Benz,43.0,595,2191,50,0.2,59950,224,47
Volkswagen,80.9,744,2474,100,0.22,85863,234,46
Audi,76.7,267,2239,50,0.24,52226,360,84
Mercedes-Benz,33.3,493,2070,100,0.35,57274,194,23
Tesla,89.6,304,2520,250,0.28,56766,423,23
BMW,36.9,209,1958,100,0.21,37693,208,24
Tesla,111.6,501,2483,150,0.23,74752,554,46
Kia,68.0,677,2553,100,0.23,66827,205,39
Polestar,76.9,742,2376,150,0.28,84205,376,28
Hyundai,76.2,108,2072,100,0.26,48835,245,45
Volkswagen,121.2,226,2647,50,0.35,53664,386,132
Volkswagen,50.0,732,2363,50,0.3,73692,216,56
Porsche,35.2,695,2079,150,0.33,67729,118,14
Chevrolet,78.3,613,2582,150,0.25,65931,314,32
Audi,111.2,373,2609,150,0.21,64634,371,43
Rivian,36.4,564,2166,100,0.29,53356,101,24
Tesla,112.4,671,2713,50,0.3,81777,442,123
Mercedes-Benz,88.5,579,2695,50,0.25,73223,440,97
Chevrolet,127.1,736,2756,250,0.28,85362,421,28
Polestar,115.3,564,2750,350,0.27,80929,556,19
Hyundai,85.6,436,2453,150,0.3,56681,333,31
BMW,63.2,217,2180,100,0.28,49769,268,35
BMW,34.3,372,1845,250,0.33,47758,158,11
Ford,117.1,730,2922,100,0.23,92739,498,63
Polestar,50.2,658,2310,50,0.3,64038,171,54
Ford,68.8,349,2221,150,0.23,59643,297,28
Chevrolet,81.6,554,2365,100,0.22,71383,423,48
Polestar,61.1,298,2261,150,0.34,52413,283,25
Volkswagen,128.9,608,2712,100,0.33,70827,526,71
Polestar,70.4,110,2100,350,0.29,42304,306,13
Mercedes-Benz,69.6,225,2184,350,0.24,46062,341,13
Hyundai,109.9,299,2489,250,0.22,65112,497,25
Polestar,88.1,610,2742,150,0.29,74569,315,36
BMW,96.7,684,2669,50,0.28,72288,336,105
Polestar,33.5,452,1995,150,0.21,59519,178,18
Chevrolet,124.8,565,2812,350,0.21,77175,568,27
Volkswagen,110.2,522,2465,150,0.27,79643,322,42
Tesla,89.9,708,2519,150,0.21,79650,404,34
Kia,112.6,474,2707,50,0.31,79348,501,121
Nissan,54.0,333,2113,150,0.27,55959,293,23
Mercedes-Benz,58.4,564,2159,50,0.26,63320,308,63
Ford,54.5,655,2192,350,0.27,75818,231,11
Chevrolet,101.9,669,2668,350,0.3,82051,295,20
Rivian,78.4,241,2366,50,0.21,57734,459,85
Hyundai,46.7,244,1917,150,0.31,46747,173,22
Polestar,47.3,543,2338,250,0.35,59946,176,15
Mercedes-Benz,113.6,708,2711,150,0.31,87153,434,45
Chevrolet,109.7,397,2483,100,0.27,68643,418,62
Hyundai,120.4,689,2918,50,0.28,78009,413,129
Audi,51.8,312,1959,150,0.34,58582,260,23
Tesla,119.5,261,2623,250,0.26,60398,553,31
Audi,81.4,336,2226,350,0.29,61075,399,20
Tesla,46.2,634,2204,50,0.29,61036,173,48
Kia,103.3,499,2531,350,0.22,70454,436,16
BMW,82.1,735,2557,350,0.29,82861,269,15
Polestar,97.4,382,2403,350,0.31,67999,389,19
Polestar,78.1,487,2388,350,0.29,51357,312,16
Kia,91.4,238,2426,250,0.25,50913,380,23
BMW,47.4,342,2071,250,0.28,54395,215,13
Rivian,54.0,679,2329,350,0.27,72715,224,19
Tesla,82.8,317,2426,150,0.22,59254,415,32
Audi,107.9,321,2556,150,0.31,72628,349,43
BMW,92.5,296,2282,250,0.28,57310,419,23
Ford,125.4,609,2831,250,0.35,85916,548,30
Nissan,31.1,676,2085,100,0.33,66555,152,23
Audi,119.0,459,2437,150,0.28,78473,497,46
Hyundai,123.9,378,2772,250,0.26,70291,501,31
BMW,63.8,527,2319,250,0.23,60023,329,16
Porsche,112.9,552,2768,350,0.33,80432,385,21
BMW,74.4,178,2220,250,0.28,44218,309,19
Volkswagen,72.6,574,2404,350,0.33,62976,349,15
Nissan,46.8,573,2165,150,0.34,60831,172,20
Rivian,84.3,641,2491,150,0.34,76461,424,36
Nissan,66.9,106,2114,350,0.33,49242,233,14
Volkswagen,84.0,369,2281,350,0.29,57647,410,15
Tesla,98.0,269,2229,50,0.21,68307,457,110
Tesla,84.7,453,2318,50,0.34,66994,344,90
Ford,45.0,528,1936,100,0.26,62720,217,31
Kia,109.7,287,2368,250,0.31,49314,440,28
Hyundai,70.4,660,2411,250,0.24,66460,246,20
Rivian,78.4,556,2352,350,0.2,76597,371,14
BMW,55.3,734,2337,350,0.35,69503,218,10
Kia,106.6,343,2427,350,0.3,55845,472,20
Chevrolet,38.8,411,2064,250,0.3,55541,211,13
Porsche,80.2,335,2227,250,0.23,52421,449,22
Rivian,87.4,117,2347,250,0.34,48759,289,20
Porsche,67.2,537,2310,150,0.21,70039,303,32
Volkswagen,50.6,453,2148,100,0.23,45314,300,32
Chevrolet,102.6,613,2748,350,0.31,66821,378,19
Kia,65.1,472,2204,50,0.34,62223,253,75
Kia,38.1,305,1882,100,0.22,48768,196,23
Tesla,80.1,250,2116,150,0.22,51361,398,34
BMW,37.9,416,1965,150,0.25,43860,206,16
Audi,41.9,666,2220,100,0.22,71954,179,25
Polestar,73.6,511,2438,50,0.24,66174,248,81
Ford,51.1,272,2018,250,0.21,45904,214,14
Kia,125.9,113,2476,350,0.28,56234,520,23
Audi,71.9,652,2416,250,0.26,72832,338,21
Hyundai,109.0,621,2621,350,0.26,78274,379,18
Volkswagen,30.1,310,1809,350,0.29,44997,182,11
Kia,93.4,451,2516,100,0.27,64245,451,53
Rivian,40.3,228,2036,50,0.24,37866,198,47
Kia,79.3,292,2162,100,0.32,55992,406,45
Tesla,71.7,583,2321,100,0.25,59543,337,39
Tesla,73.1,426,2345,100,0.24,64482,352,42
Polestar,77.9,363,2333,100,0.32,54825,363,44
Porsche,119.9,730,3045,350,0.34,86631,381,20
Polestar,74.6,300,2125,150,0.3,60960,330,33
BMW,35.5,214,1676,100,0.32,39560,180,19
BMW,66.5,405,2150,50,0.33,57153,243,73
Hyundai,100.0,233,2379,350,0.27,61072,451,20
Polestar,68.4,601,2312,50,0.28,65863,278,75
Tesla,68.8,419,2097,50,0.26,66395,297,78
Ford,87.6,640,2576,250,0.24,75374,379,22
Polestar,41.2,743,2164,150,0.2,63796,198,16
Ford,83.0,648,2454,150,0.29,71698,264,31
Porsche,117.6,471,2673,100,0.33,73745,389,69
Kia,79.8,713,2690,50,0.27,83780,276,90
Ford,54.5,428,2061,150,0.21,48724,308,25
Ford,115.5,226,2493,50,0.28,55036,457,125
Chevrolet,129.7,712,2801,350,0.28,77765,508,24
BMW,129.1,374,2689,350,0.33,68334,532,20
Polestar,101.7,185,2438,50,0.33,55422,372,113
Kia,110.3,359,2620,250,0.21,60649,460,24
BMW,70.5,378,2365,100,0.23,61951,359,38
Volkswagen,95.6,485,2675,350,0.22,66194,355,17
Volkswagen,45.6,168,1800,150,0.29,52157,202,21
Audi,77.2,419,2477,100,0.25,54543,286,46
Volkswagen,78.3,293,2203,250,0.29,55292,235,19
BMW,129.8,217,2772,250,0.29,65253,556,33
Mercedes-Benz,77.6,519,2270,150,0.26,55866,307,31
Tesla,98.2,392,2687,250,0.28,68525,439,27
Volkswagen,55.0,495,2143,100,0.27,59211,259,34
Audi,105.8,748,2768,100,0.26,85501,480,61
Ford,114.4,432,2614,350,0.24,74991,364,21
Tesla,106.3,209,2383,50,0.25,66126,497,114
Audi,41.0,463,1897,50,0.27,52688,198,45
Audi,51.3,688,2138,350,0.34,63261,196,10
Chevrolet,55.0,234,1944,100,0.23,54175,256,35
Volkswagen,61.9,745,2483,150,0.21,71177,290,24
Ford,62.8,633,2259,100,0.27,76568,270,36
Hyundai,78.8,117,2107,50,0.32,53705,408,88
Chevrolet,50.7,701,2061,100,0.24,68751,254,33
Porsche,38.5,582,1991,250,0.34,66236,163,13
Ford,110.9,681,2641,50,0.2,79974,481,122
Mercedes-Benz,57.1,289,2123,150,0.27,55613,267,23
Nissan,78.8,524,2336,250,0.24,69710,353,18
BMW,44.3,221,1972,50,0.35,53371,243,48
BMW,128.0,737,2866,100,0.22,96703,446,71
Chevrolet,44.6,190,1976,350,0.29,43819,198,10
Nissan,70.8,301,2034,350,0.25,57235,354,17
Rivian,120.4,128,2598,350,0.3,55619,357,24
Rivian,56.4,282,2016,150,0.27,48156,313,23
Kia,44.8,396,1896,150,0.31,53075,199,20
Rivian,126.3,179,2551,250,0.21,68315,671,30
Chevrolet,122.2,123,2498,150,0.22,63916,584,47
Nissan,63.5,346,2163,350,0.27,56207,259,11
Hyundai,36.2,584,2084,50,0.21,64218,175,43
Porsche,58.6,696,2218,350,0.22,67815,256,11
Mercedes-Benz,37.8,377,2085,150,0.31,52367,160,18
Porsche,94.7,327,2454,150,0.29,68280,437,38
BMW,119.9,319,2703,150,0.23,60539,519,47
Ford,99.1,543,2465,50,0.22,66304,436,107
Chevrolet,72.4,695,2173,250,0.34,67756,270,20
Tesla,121.6,352,2691,350,0.28,71272,467,21
Porsche,87.4,474,2428,100,0.32,68273,360,47
Mercedes-Benz,81.3,206,2114,150,0.29,42745,211,31
Porsche,58.9,365,2042,50,0.26,62198,295,66
Audi,56.5,314,2220,50,0.29,51834,253,66
Tesla,44.7,646,2376,350,0.33,63253,133,11
Audi,57.5,661,2352,350,0.2,61837,266,10
Ford,86.3,221,2240,250,0.31,54436,325,23
Volkswagen,126.9,551,2925,150,0.28,75738,359,51
BMW,60.3,608,2340,150,0.3,54098,188,24
Audi,84.2,283,2267,150,0.31,54776,338,33
Chevrolet,94.6,331,2540,100,0.27,61140,430,50
Tesla,76.7,558,2555,250,0.33,60531,332,21
Kia,93.6,529,2439,50,0.34,74688,344,102
Chevrolet,96.8,532,2492,50,0.22,67089,431,105
Chevrolet,124.5,108,2461,250,0.2,59427,557,32
Audi,34.0,747,1972,250,0.25,78036,169,10
Chevrolet,53.3,704,2277,250,0.32,73294,197,14
Tesla,87.3,735,2733,100,0.25,75361,299,53
Volkswagen,125.7,130,2458,150,0.22,60941,561,44
Polestar,117.4,489,2406,100,0.2,72210,548,66
Porsche,127.6,710,2883,350,0.27,85368,377,24
Mercedes-Benz,105.3,376,2441,50,0.26,65083,453,116
Audi,58.9,619,2359,50,0.26,70410,238,68
Volkswagen,46.6,642,2270,350,0.33,64974,161,10
Volkswagen,99.9,549,2889,150,0.32,79508,390,39
Mercedes-Benz,87.0,579,2587,150,0.21,67566,403,36
Kia,53.6,343,2118,150,0.28,49567,187,23
Ford,77.6,524,2406,150,0.23,59891,308,30
Ford,73.8,604,2327,250,0.31,75201,316,19
Tesla,71.1,341,2199,100,0.22,58797,290,42
Tesla,33.8,419,2079,100,0.22,48154,163,21
Volkswagen,109.2,159,2419,150,0.21,52986,510,44
Rivian,34.0,637,2143,100,0.21,65721,208,21
Polestar,106.1,440,2599,100,0.32,71598,441,60
Volkswagen,50.7,321,2138,50,0.3,52337,203,56
Porsche,40.7,175,1840,350,0.35,40373,175,12
Ford,108.9,444,2715,250,0.22,69326,464,31
Mercedes-Benz,92.1,730,2533,100,0.28,79306,345,57
Volkswagen,106.9,559,2640,350,0.27,80505,390,16
Porsche,65.4,567,2160,150,0.3,65247,224,24
Rivian,64.9,360,2198,150,0.34,48831,305,26
Ford,90.2,512,2335,100,0.32,70700,389,49
Porsche,97.1,132,2442,150,0.28,51611,532,36
Ford,34.8,536,1966,350,0.26,61615,137,10
Audi,54.4,500,2300,150,0.27,62890,194,19
Tesla,82.4,121,2244,50,0.33,48431,359,92
Polestar,48.0,140,2053,250,0.27,48716,221,14
Hyundai,60.9,343,2125,50,0.27,52032,216,70
Polestar,101.9,386,2545,50,0.3,57871,332,111
Mercedes-Benz,62.9,488,2366,100,0.25,66125,361,41
Nissan,121.2,729,2669,50,0.27,77346,612,133
Audi,44.9,740,2340,50,0.32,74462,149,52
Kia,64.2,381,2182,50,0.22,56651,293,68
Ford,129.0,671,2809,150,0.35,82274,448,50
Mercedes-Benz,123.1,669,2934,250,0.34,87579,488,29
Volkswagen,93.1,434,2384,100,0.33,65790,440,55
Polestar,127.7,143,2562,150,0.25,64271,588,48
Porsche,57.7,526,1933,50,0.25,66429,278,61
BMW,48.5,277,2191,50,0.28,54940,206,56
Audi,101.6,420,2575,350,0.32,69889,317,15
Volkswagen,119.9,570,2501,250,0.33,71888,604,32
Rivian,47.0,231,2002,250,0.3,48323,173,12
Mercedes-Benz,48.6,597,2286,100,0.21,68212,203,32
Volkswagen,64.5,594,2322,150,0.32,73543,293,27
Mercedes-Benz,58.4,180,2242,50,0.29,37495,298,67
Rivian,110.8,728,3002,150,0.21,84068,341,40
Tesla,119.5,223,2681,100,0.26,55947,363,68
Volkswagen,123.1,706,2884,350,0.22,80686,506,22
Hyundai,36.2,677,2093,50,0.25,69115,193,43
Hyundai,120.2,718,2777,150,0.26,82487,536,45
Mercedes-Benz,91.0,570,2518,50,0.21,71733,355,102
Mercedes-Benz,78.5,245,2292,350,0.33,56538,333,17
BMW,95.9,578,2565,50,0.29,74414,420,104
Polestar,122.6,396,2846,350,0.31,70448,361,19
Porsche,48.7,364,1895,350,0.22,56929,274,10
Audi,66.3,111,2063,250,0.27,46267,325,19
Nissan,78.2,415,2300,50,0.27,70057,385,87
Polestar,123.1,579,2712,100,0.25,71289,439,69
Ford,98.3,679,2521,150,0.26,74816,385,40
Kia,80.2,519,2463,350,0.3,58633,373,18
Hyundai,99.0,575,2589,150,0.31,71108,369,38
Volkswagen,107.4,494,2574,250,0.26,70235,367,26
Audi,79.4,155,2172,250,0.34,42502,349,24
Mercedes-Benz,121.9,356,2666,250,0.22,52010,578,30
Hyundai,36.9,267,2095,350,0.25,39641,166,11
Porsche,81.3,580,2557,350,0.21,66204,351,15
Polestar,42.7,426,1862,350,0.3,51001,197,13
Tesla,125.9,571,2721,250,0.35,76524,430,27
Nissan,33.8,381,1880,350,0.22,51938,208,12
Audi,117.8,167,2366,50,0.22,59221,600,129
Nissan,130.0,420,2698,100,0.33,67138,460,73
Volkswagen,75.5,446,2288,150,0.28,60737,318,32
Audi,115.5,710,2630,50,0.31,84267,451,126
Audi,45.4,660,2160,350,0.34,68668,218,10
Kia,80.4,232,2256,250,0.2,56449,407,22
Audi,113.2,154,2507,100,0.22,48745,395,65
Rivian,66.6,519,2311,150,0.23,62134,342,25
Ford,74.5,330,2279,250,0.32,52093,366,20
Ford,73.8,110,2109,100,0.31,38467,309,46
BMW,52.6,499,2023,100,0.28,56896,232,31
Porsche,77.0,349,2257,100,0.28,67621,313,42
Volkswagen,93.9,397,2578,350,0.29,66960,281,22
Kia,76.6,137,2206,350,0.23,60341,289,16
Polestar,106.5,583,2528,150,0.27,74259,452,44
Rivian,35.7,488,1979,250,0.27,58795,149,10
Volkswagen,115.8,322,2601,50,0.35,61400,404,127
Ford,41.4,177,1814,250,0.31,52218,218,13
Tesla,70.7,380,2259,350,0.25,43171,324,14
Ford,77.5,588,2509,50,0.32,69989,276,88
Polestar,59.0,440,2195,250,0.28,59654,232,13
Tesla,97.4,375,2317,150,0.35,59214,382,38
Porsche,119.2,465,2604,350,0.23,76506,643,17
Mercedes-Benz,78.8,360,2374,150,0.28,63133,371,31
Audi,59.3,225,2024,100,0.26,42204,251,36
Hyundai,68.9,748,2563,50,0.34,73122,237,76
Tesla,66.2,198,2207,150,0.28,49203,300,29
Polestar,66.3,708,2279,350,0.32,66641,262,18
Kia,103.8,616,2733,100,0.26,78420,439,56
Nissan,65.6,726,2377,100,0.21,76696,317,42
Audi,64.9,641,2337,250,0.33,70939,254,17
Hyundai,92.5,354,2415,50,0.35,51743,337,103
Mercedes-Benz,84.3,224,2211,150,0.24,51381,415,33
Polestar,88.6,608,2488,250,0.3,73776,360,22
Porsche,76.6,311,2334,50,0.2,53664,322,85
Kia,33.1,198,1870,50,0.21,34131,159,39
Volkswagen,69.8,307,2228,250,0.27,49592,362,20
Hyundai,30.4,361,1970,350,0.21,53129,148,10
Nissan,99.3,559,2627,50,0.31,76884,425,110
Kia,76.7,683,2483,350,0.22,71840,300,16
Porsche,82.9,544,2295,150,0.22,69151,372,33
Volkswagen,115.5,215,2315,50,0.21,57401,557,126
Nissan,70.0,184,2076,100,0.32,44335,302,41
Polestar,91.1,144,2259,50,0.21,53826,455,101
Chevrolet,100.1,114,2143,250,0.3,50249,533,26
Chevrolet,73.8,333,2104,50,0.29,56415,332,80
Nissan,47.0,631,2191,250,0.24,69949,243,14
Tesla,121.0,614,2697,250,0.21,81554,508,30
Polestar,97.2,417,2653,50,0.26,69411,385,107
Mercedes-Benz,49.1,459,1951,350,0.2,60561,213,12
Rivian,66.5,521,2275,250,0.26,60734,247,19
Porsche,94.0,122,2341,100,0.26,54924,535,52
Chevrolet,109.0,248,2456,100,0.31,55884,564,62
Porsche,75.6,233,2173,350,0.3,43349,347,17
Nissan,104.4,584,2556,350,0.34,72513,456,18
Volkswagen,60.7,166,2050,250,0.27,42512,278,15
BMW,51.9,618,2282,50,0.24,63985,213,57
Mercedes-Benz,103.4,147,2387,350,0.23,58582,492,24
Polestar,55.2,692,2347,50,0.23,67288,223,60
Audi,37.6,108,1790,50,0.2,35987,180,47
Ford,104.7,230,2381,150,0.34,54035,484,39
Audi,43.1,515,2133,50,0.24,61644,214,49
Hyundai,76.2,378,2110,50,0.26,67745,371,84
Nissan,101.8,318,2470,350,0.26,56845,556,19
BMW,55.3,511,2367,150,0.33,60798,237,25
Ford,71.6,451,2484,150,0.24,64880,352,29
Polestar,102.9,263,2502,350,0.35,57920,376,16
Kia,79.0,346,2397,100,0.29,50670,361,45
Tesla,82.7,343,2167,150,0.25,60239,400,30
Kia,106.1,612,2684,50,0.32,80232,396,113
Audi,42.2,456,1901,50,0.28,59779,191,48
Ford,73.2,372,2282,150,0.34,55581,281,32
Tesla,105.8,335,2515,100,0.3,68057,380,60
Polestar,35.1,411,1913,250,0.31,45911,187,10
Ford,105.1,716,2623,100,0.28,83469,489,57
Porsche,36.1,162,1864,250,0.29,37301,163,12
Volkswagen,40.7,290,2174,50,0.21,55330,185,49
Hyundai,75.4,154,2227,50,0.22,47876,367,80
Ford,55.3,354,2189,250,0.25,52019,251,17
Ford,75.9,229,2180,150,0.29,55283,351,32
Tesla,57.6,469,2069,150,0.27,57146,247,25
Nissan,119.9,572,2661,50,0.21,73554,608,130
Polestar,111.3,481,2645,350,0.24,62159,467,20
Audi,98.9,679,2486,350,0.31,72369,488,17
Chevrolet,102.2,602,2517,50,0.28,72804,445,108
Nissan,43.9,174,1984,150,0.35,38577,160,21
BMW,80.6,128,2220,150,0.25,57255,364,28
Audi,71.9,543,2474,250,0.2,69346,243,20
Tesla,79.4,370,2248,50,0.34,64820,313,88
Mercedes-Benz,103.7,377,2526,50,0.22,63672,398,113
Mercedes-Benz,43.1,707,2432,100,0.24,60056,177,28
BMW,70.8,270,2326,50,0.29,47411,328,74
Porsche,116.1,314,2484,150,0.21,53948,487,47
Ford,117.8,383,2696,100,0.24,66491,384,65
Polestar,62.0,198,2072,100,0.21,44123,309,35
BMW,66.1,454,2017,150,0.24,60463,280,30
Rivian,115.6,403,2582,250,0.21,64731,571,26
Mercedes-Benz,94.4,441,2589,150,0.21,71030,391,38
Porsche,104.5,688,2875,50,0.34,81092,383,111
Ford,38.1,617,2199,150,0.25,73116,168,15
Rivian,87.1,104,2238,150,0.28,45827,437,36
Kia,126.0,143,2683,50,0.32,58369,454,137
Nissan,116.3,333,2481,150,0.3,63491,503,46
Audi,114.1,595,2670,50,0.26,80567,483,120
Volkswagen,91.1,311,2402,150,0.21,48644,459,37
Audi,37.6,606,2113,100,0.22,72093,154,23
Ford,124.6,282,2622,150,0.25,61661,507,46
Chevrolet,115.3,519,2687,50,0.23,76114,433,129
Chevrolet,45.9,358,2098,150,0.25,49531,169,22
Tesla,31.4,688,2169,250,0.28,67880,110,12
Tesla,120.8,137,2436,150,0.27,54945,611,44
Chevrolet,126.5,411,2735,50,0.22,69036,518,137
Hyundai,59.8,479,2178,150,0.26,68313,257,25
Nissan,90.2,495,2337,50,0.3,68688,285,96
Hyundai,95.3,653,2728,100,0.32,73886,439,53
Chevrolet,121.0,392,2593,350,0.24,66484,478,21
Mercedes-Benz,34.6,705,2230,50,0.3,67831,155,38
Polestar,88.4,665,2480,250,0.35,76879,332,20
Porsche,54.5,679,2268,250,0.21,69884,232,17
Hyundai,116.0,333,2614,350,0.34,67094,333,23
Rivian,93.9,671,2761,150,0.28,70314,298,37
Kia,67.5,210,2100,100,0.25,46629,329,39
Nissan,95.8,492,2683,100,0.32,75077,368,52
Kia,64.6,468,2236,100,0.21,72008,328,38
BMW,101.5,552,2683,100,0.29,71500,439,58
Hyundai,107.0,250,2561,50,0.3,51033,383,114
BMW,118.3,244,2456,100,0.22,61975,429,68
Chevrolet,54.4,225,1767,150,0.27,53431,259,25
Polestar,30.6,559,1968,50,0.23,62070,180,37
